Name,Genre
The Sims 3,Simulation
World of Warcraft,Role-Playing
Diablo III,Role-Playing
Microsoft Flight Simulator,Simulation
StarCraft II: Wings of Liberty,Strategy
Warcraft II: Tides of Darkness,Strategy
Half-Life,Shooter
World of Warcraft: The Burning Crusade,Role-Playing
The Elder Scrolls V: Skyrim,Role-Playing
The Sims: Unleashed,Simulation
Doom II: Hell on Earth,Shooter
The Sims 4,Simulation
The Sims: Vacation,Simulation
The Sims: Livin Large,Misc
Star Wars: The Old Republic,Role-Playing
Command & Conquer: Red Alert,Strategy
Myst,Adventure
Battlefield 3,Shooter
Riven: The Sequel to Myst,Adventure
Theme Hospital,Strategy
Monopoly,Misc
Half-Life 2,Shooter
Guild Wars 2,Action
Tomb Raider II,Action
The Sims: House Party,Simulation
SimCity 2000,Simulation
World of Warcraft: Cataclysm,Role-Playing
Sim Theme Park,Strategy
Warcraft: Orcs & Humans,Strategy
Star Wars: Dark Forces,Shooter
Who wants to be a millionaire,Misc
The Sims: Makin Magic,Simulation
World of Warcraft: Mists of Pandaria,Role-Playing
The Sims: Hot Date,Simulation
Call of Duty: Modern Warfare 3,Shooter
The Sims 3: Late Night Expansion Pack,Simulation
Sid Meiers Civilization V,Strategy
StarCraft II: Heart of the Swarm,Strategy
The Sims: Superstar,Simulation
Call of Duty: Black Ops,Shooter
Diablo,Role-Playing
Command & Conquer: Tiberian Sun,Strategy
Warcraft III: The Frozen Throne,Strategy
Final Fantasy XIV: A Realm Reborn,Role-Playing
Call of Duty: Black Ops II,Shooter
Football Manager 2012,Sports
Anno 2070,Strategy
SimCity (2013),Simulation
Battlefield 4,Shooter
Fallout 4,Role-Playing
Command & Conquer: Red Alert 2,Strategy
World of Warcraft: Wrath of the Lich King,Role-Playing
The Sims 2: Nightlife,Simulation
Football Manager 2011,Sports
Championship Manager 03/04,Sports
RollerCoaster Tycoon 2,Strategy
Grand Theft Auto V,Action
Farming Simulator 2015,Simulation
Fallout: New Vegas,Role-Playing
Spore,Strategy
Worldwide Soccer Manager 2009,Simulation
Football Manager 2013,Sports
Call of Duty 4: Modern Warfare,Shooter
Worldwide Soccer Manager 2008,Sports
Empire: Total War,Strategy
Championship Manager 99/00,Sports
Diablo II: Lord of Destruction,Role-Playing
Tomb Raider,Action
Championship Manager 3,Sports
Fallout 3,Role-Playing
Grand Theft Auto: San Andreas,Action
Mass Effect 3,Role-Playing
Far Cry 3,Shooter
The Witcher 2: Assassins of Kings,Action
Farming Simulator 2013,Simulation
The Elder Scrolls Online,Role-Playing
Borderlands 2,Shooter
Assassins Creed III,Action
Assassins Creed,Adventure
