User,Name,Playtime,Genre,Purchace,Play
151603712,Fallout 4,87.0,Role-Playing,1,1
151603712,Spore,14.9,Strategy,1,1
151603712,Left 4 Dead 2,8.9,Shooter,1,1
151603712,Left 4 Dead,3.3,Shooter,1,1
151603712,Tomb Raider,2.5,Action,1,1
151603712,BioShock Infinite,1.3,Shooter,1,1
151603712,Grand Theft Auto IV,0.6,Action,1,1
151603712,BioShock,0.5,Shooter,1,1
59945701,Company of Heroes,3.2,Strategy,1,1
53875128,Grand Theft Auto V,86.0,Action,1,1
53875128,Left 4 Dead 2,71.0,Shooter,1,1
53875128,Far Cry 3,35.0,Shooter,1,1
53875128,Rocket League,34.0,Sports,1,1
53875128,Far Cry 4,32.0,Shooter,1,1
53875128,Dying Light,23.0,Action,1,1
53875128,Just Cause 2,23.0,Action,1,1
53875128,Portal 2,21.0,Shooter,1,1
53875128,Tropico 4,14.3,Strategy,1,1
53875128,Sleeping Dogs,11.5,Action,1,1
53875128,Saints Row IV,11.1,Action,1,1
53875128,Half-Life 2,10.2,Shooter,1,1
53875128,DiRT 3,9.7,Racing,1,1
53875128,Metro 2033,7.8,Shooter,1,1
53875128,Ori and the Blind Forest,7.0,Platform,1,1
53875128,Sniper Elite 3,6.2,Shooter,1,1
53875128,Dishonored,4.3,Action,1,1
53875128,Dead Space,3.3,Action,1,1
53875128,Portal,2.8,Puzzle,1,1
53875128,The Binding of Isaac,2.4,Action,1,1
53875128,LEGO The Lord of the Rings,2.2,Action,1,1
53875128,Mass Effect,1.9,Role-Playing,1,1
53875128,Left 4 Dead,1.7,Shooter,1,1
53875128,Grand Theft Auto IV,1.5,Action,1,1
53875128,Borderlands 2,0.8,Shooter,1,1
53875128,BioShock,0.8,Shooter,1,1
53875128,Trine,0.8,Action,1,1
53875128,Far Cry 2,0.7,Action,1,1
53875128,Oil Rush,0.6,Strategy,1,1
53875128,Spore,0.5,Strategy,1,1
53875128,Spintires,0.4,Adventure,1,1
53875128,Dead Island,0.3,Action,1,1
53875128,GRID 2,0.3,Racing,1,1
53875128,Sonic & All-Stars Racing Transformed,0.3,Racing,1,1
53875128,The Crew,0.1,Racing,1,0
53875128,Sonic Generations,0.1,Platform,1,0
26122540,Dungeon Defenders,6.8,Role-Playing,1,1
218323237,Tomb Raider,8.8,Action,1,1
218323237,TERA,0.9,Role-Playing,1,1
126340495,Saints Row IV,48.0,Action,1,1
126340495,Far Cry 3,2.2,Shooter,1,1
97298878,Mafia II,15.9,Action,1,1
97298878,Europa Universalis III,8.3,Strategy,1,1
173909336,APB Reloaded,5.9,Role-Playing,1,1
48845802,Left 4 Dead,1.1,Shooter,1,1
250006052,Project CARS,40.0,Racing,1,1
65117175,Portal 2,11.3,Shooter,1,1
65117175,Portal,9.1,Puzzle,1,1
65117175,World of Goo,5.9,Puzzle,1,1
65117175,Machinarium,5.1,Adventure,1,1
65117175,The Ball,3.6,Shooter,1,1
65117175,Braid,2.2,Platform,1,1
65117175,Botanicula,0.9,Adventure,1,1
11373749,Rocket League,348.0,Sports,1,1
11373749,Left 4 Dead 2,270.0,Shooter,1,1
11373749,Terraria,84.0,Action,1,1
11373749,Grand Theft Auto V,61.0,Action,1,1
11373749,Saints Row 2,58.0,Action,1,1
11373749,Left 4 Dead,44.0,Shooter,1,1
11373749,Sleeping Dogs,31.0,Action,1,1
11373749,GRID,31.0,Racing,1,1
11373749,Darksiders,24.0,Action,1,1
11373749,Worms Reloaded,23.0,Strategy,1,1
11373749,Portal 2,22.0,Shooter,1,1
11373749,Trine,21.0,Action,1,1
11373749,Alan Wake,19.5,Action,1,1
11373749,Peggle Nights,19.5,Puzzle,1,1
11373749,Tomb Raider,18.3,Action,1,1
11373749,Bejeweled 3,18.2,Puzzle,1,1
11373749,Half-Life 2,18.1,Shooter,1,1
11373749,BioShock,17.1,Shooter,1,1
11373749,The Book of Unwritten Tales,15.4,Adventure,1,1
11373749,The Movies,14.5,Simulation,1,1
11373749,The Testament of Sherlock Holmes,13.8,Adventure,1,1
11373749,Indigo Prophecy,12.8,Adventure,1,1
11373749,Just Cause 2,12.7,Action,1,1
11373749,DiRT 2,10.5,Racing,1,1
11373749,Dishonored,9.7,Action,1,1
11373749,4 Elements,9.4,Puzzle,1,1
11373749,The Ball,9.0,Shooter,1,1
11373749,Machinarium,7.6,Adventure,1,1
11373749,Singularity,6.6,Shooter,1,1
11373749,Portal,4.4,Puzzle,1,1
11373749,The Tiny Bang Story,4.2,Adventure,1,1
11373749,Braid,4.1,Platform,1,1
11373749,Botanicula,3.2,Adventure,1,1
11373749,Dungeon Defenders,2.3,Role-Playing,1,1
11373749,World of Goo,2.0,Puzzle,1,1
11373749,Half-Life,1.5,Shooter,1,1
11373749,Sonic & All-Stars Racing Transformed,1.4,Racing,1,1
11373749,Trine 2,1.0,Platform,1,1
11373749,Blur,0.9,Racing,1,1
11373749,Magicka,0.7,Role-Playing,1,1
11373749,The Longest Journey,0.6,Adventure,1,1
54103616,Left 4 Dead,148.0,Shooter,1,1
54103616,Borderlands 2,21.0,Shooter,1,1
54103616,Left 4 Dead 2,15.8,Shooter,1,1
54103616,Portal 2,7.3,Shooter,1,1
54103616,Terraria,1.7,Action,1,1
263856756,Grand Theft Auto V,499.0,Action,1,1
49769103,Left 4 Dead 2,1.4,Shooter,1,1
202742019,Sleeping Dogs,104.0,Action,1,1
300601393,Euro Truck Simulator 2,12.0,Action,1,1
92842632,Dungeon Defenders,16.8,Role-Playing,1,1
171847029,Grand Theft Auto V,33.0,Action,1,1
171847029,Just Cause,16.2,Action,1,1
171847029,Just Cause 2,0.7,Action,1,1
64350600,Left 4 Dead 2,8.6,Shooter,1,1
93085014,Stronghold 3,3.0,Strategy,1,1
92173524,Dungeon Defenders,0.3,Role-Playing,1,1
151229648,Mass Effect 2,29.0,Role-Playing,1,1
151229648,Mass Effect,19.7,Role-Playing,1,1
